2023-02-14 19:07:00.940 [main] INFO  org22.example22.demo.MycrudApplication - Starting MycrudApplication using Java 11.0.18 on userdeMacBook-Air.local with PID 91856 (/Applications/MAMP/htdocs/my_java/mycrud/target/classes started by user in /Applications/MAMP/htdocs/my_java/mycrud)
2023-02-14 19:07:00.943 [main] INFO  org22.example22.demo.MycrudApplication - The following 1 profile is active: "prod"
2023-02-14 19:07:01.281 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2023-02-14 19:07:01.286 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3 ms. Found 0 JDBC repository interfaces.
2023-02-14 19:07:01.573 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8066 (http)
2023-02-14 19:07:01.578 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-02-14 19:07:01.578 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
2023-02-14 19:07:01.639 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/mycrud] - Initializing Spring embedded WebApplicationContext
2023-02-14 19:07:01.639 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 670 ms
2023-02-14 19:07:02.081 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-02-14 19:07:02.215 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-02-14 19:07:02.431 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8066 (http) with context path '/mycrud'
2023-02-14 19:07:02.451 [main] INFO  org22.example22.demo.MycrudApplication - Started MycrudApplication in 7.013 seconds (JVM running for 7.513)
2023-02-14 19:07:12.569 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-02-14 19:07:12.578 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-02-14 19:07:20.942 [main] INFO  org22.example22.demo.MycrudApplication - Starting MycrudApplication using Java 11.0.18 on userdeMacBook-Air.local with PID 91952 (/Applications/MAMP/htdocs/my_java/mycrud/target/classes started by user in /Applications/MAMP/htdocs/my_java/mycrud)
2023-02-14 19:07:20.943 [main] INFO  org22.example22.demo.MycrudApplication - The following 1 profile is active: "prod"
2023-02-14 19:07:21.246 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2023-02-14 19:07:21.252 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 JDBC repository interfaces.
2023-02-14 19:07:21.518 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8066 (http)
2023-02-14 19:07:21.523 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-02-14 19:07:21.523 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
2023-02-14 19:07:21.573 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/mycrud] - Initializing Spring embedded WebApplicationContext
2023-02-14 19:07:21.573 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 609 ms
2023-02-14 19:07:21.897 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-02-14 19:08:19.096 [main] INFO  org22.example22.demo.MycrudApplication - Starting MycrudApplication using Java 11.0.18 on userdeMacBook-Air.local with PID 92138 (/Applications/MAMP/htdocs/my_java/mycrud/target/classes started by user in /Applications/MAMP/htdocs/my_java/mycrud)
2023-02-14 19:08:19.098 [main] INFO  org22.example22.demo.MycrudApplication - The following 1 profile is active: "prod"
2023-02-14 19:08:19.419 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2023-02-14 19:08:19.425 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 JDBC repository interfaces.
2023-02-14 19:08:19.704 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8066 (http)
2023-02-14 19:08:19.710 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-02-14 19:08:19.710 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
2023-02-14 19:08:19.766 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/mycrud] - Initializing Spring embedded WebApplicationContext
2023-02-14 19:08:19.766 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 646 ms
