2023-01-10 18:10:11.494 [main] INFO  org.example.demo.MycrudApplication - Starting MycrudApplication v1.0-SNAPSHOT using Java 16.0.1 on macdeMacBook-Pro.local with PID 20476 (/Applications/XAMPP/xamppfiles/htdocs/my_practice22/my_java/mycrud/target/demo-1.0-SNAPSHOT.jar started by mac in /Applications/XAMPP/xamppfiles/htdocs/my_practice22/my_java/mycrud/target)
2023-01-10 18:10:11.503 [main] INFO  org.example.demo.MycrudApplication - The following 1 profile is active: "prod"
2023-01-10 18:10:12.210 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2023-01-10 18:10:12.224 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 0 JDBC repository interfaces.
2023-01-10 18:10:12.864 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8066 (http)
2023-01-10 18:10:12.875 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-01-10 18:10:12.875 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
2023-01-10 18:10:12.967 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/mycrud] - Initializing Spring embedded WebApplicationContext
2023-01-10 18:10:12.968 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1396 ms
2023-01-10 18:10:13.656 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-01-10 18:10:13.868 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-01-10 18:10:14.172 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-01-10 18:10:14.183 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-01-10 18:10:14.185 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-01-10 18:10:14.195 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2023-01-10 18:10:35.485 [main] INFO  org.example.demo.MycrudApplication - Starting MycrudApplication v1.0-SNAPSHOT using Java 16.0.1 on macdeMacBook-Pro.local with PID 20513 (/Applications/XAMPP/xamppfiles/htdocs/my_practice22/my_java/mycrud/target/demo-1.0-SNAPSHOT.jar started by mac in /Applications/XAMPP/xamppfiles/htdocs/my_practice22/my_java/mycrud/target)
2023-01-10 18:10:35.489 [main] INFO  org.example.demo.MycrudApplication - The following 1 profile is active: "prod"
2023-01-10 18:10:36.157 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2023-01-10 18:10:36.170 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 JDBC repository interfaces.
2023-01-10 18:10:36.772 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8066 (http)
2023-01-10 18:10:36.784 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-01-10 18:10:36.784 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
2023-01-10 18:10:36.868 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/mycrud] - Initializing Spring embedded WebApplicationContext
2023-01-10 18:10:36.868 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1313 ms
2023-01-10 18:10:37.566 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-01-10 18:10:37.750 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-01-10 18:10:38.048 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8066 (http) with context path '/mycrud'
2023-01-10 18:10:38.056 [main] INFO  org.example.demo.MycrudApplication - Started MycrudApplication in 3.297 seconds (JVM running for 4.063)
2023-01-10 18:46:47.815 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-01-10 18:46:47.827 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
